benchmark_id,dataset_split,case_or_session_id,case_index,case_id,material,condition_type,axis_mode,anchor_id,is_usable,manual_label,is_manual_best,manual_reason,label_source,label_confidence,original_image_path,benchmark_image_path,layout_type,geometry_only_selected_anchor_id,proposed_selected_anchor_id,label_timestamp,has_scene_rgb,has_selected_mask_overlay,has_object_mask,has_anchor_geometry_overlay,has_metadata_json
E3_case_001_A1,E3,case_001_brick_01_clean_regular,1,brick_01_clean_regular,brick,clean_regular,major,A1,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_001_brick_01_clean_regular/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_001_brick_01_clean_regular/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:31:21-04:00,True,True,True,True,True
E3_case_001_A2,E3,case_001_brick_01_clean_regular,1,brick_01_clean_regular,brick,clean_regular,major,A2,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_001_brick_01_clean_regular/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_001_brick_01_clean_regular/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:31:21-04:00,True,True,True,True,True
E3_case_001_A3,E3,case_001_brick_01_clean_regular,1,brick_01_clean_regular,brick,clean_regular,major,A3,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_001_brick_01_clean_regular/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_001_brick_01_clean_regular/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:31:21-04:00,True,True,True,True,True
E3_case_001_A4,E3,case_001_brick_01_clean_regular,1,brick_01_clean_regular,brick,clean_regular,major,A4,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_001_brick_01_clean_regular/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_001_brick_01_clean_regular/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:31:21-04:00,True,True,True,True,True
E3_case_001_A5,E3,case_001_brick_01_clean_regular,1,brick_01_clean_regular,brick,clean_regular,major,A5,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_001_brick_01_clean_regular/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_001_brick_01_clean_regular/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:31:21-04:00,True,True,True,True,True
E3_case_002_A1,E3,case_002_brick_02_chipped_jagged,2,brick_02_chipped_jagged,brick,chipped_jagged,major,A1,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_002_brick_02_chipped_jagged/single_anchor_inputs/source_A1.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_002_brick_02_chipped_jagged/anchors/A1/source_A1.png,L0_baseline,A3,,2026-05-22T13:31:49-04:00,True,True,True,True,True
E3_case_002_A2,E3,case_002_brick_02_chipped_jagged,2,brick_02_chipped_jagged,brick,chipped_jagged,major,A2,True,Good,True,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_002_brick_02_chipped_jagged/single_anchor_inputs/source_A2.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_002_brick_02_chipped_jagged/anchors/A2/source_A2.png,L0_baseline,A3,,2026-05-22T13:31:49-04:00,True,True,True,True,True
E3_case_002_A3,E3,case_002_brick_02_chipped_jagged,2,brick_02_chipped_jagged,brick,chipped_jagged,major,A3,True,Good,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_002_brick_02_chipped_jagged/single_anchor_inputs/source_A3.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_002_brick_02_chipped_jagged/anchors/A3/source_A3.png,L0_baseline,A3,,2026-05-22T13:31:49-04:00,True,True,True,True,True
E3_case_002_A4,E3,case_002_brick_02_chipped_jagged,2,brick_02_chipped_jagged,brick,chipped_jagged,major,A4,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_002_brick_02_chipped_jagged/single_anchor_inputs/source_A4.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_002_brick_02_chipped_jagged/anchors/A4/source_A4.png,L0_baseline,A3,,2026-05-22T13:31:49-04:00,True,True,True,True,True
E3_case_002_A5,E3,case_002_brick_02_chipped_jagged,2,brick_02_chipped_jagged,brick,chipped_jagged,major,A5,False,Bad,False,,e3_formal_manual_labels,formal_manual,outputs/v2_experiments/e3_qwen32_single_anchor_scoring/session_20260522_134303/cases/case_002_brick_02_chipped_jagged/single_anchor_inputs/source_A5.png,data/contact_anchor_selection_benchmark_E3_E45_82/e3/case_002_brick_02_chipped_jagged/anchors/A5/source_A5.png,L0_baseline,A3,,2026-05-22T13:31:49-04:00,True,True,True,True,True
